iter	Passed	Remaining
0	5	558
1	7	348
2	8	274
3	9	226
4	10	204
5	12	188
6	13	181
7	15	175
8	16	166
9	17	159
10	18	152
11	19	146
12	20	140
13	22	135
14	23	130
15	24	126
16	25	122
17	26	118
18	27	115
19	37	149
20	38	145
21	39	140
22	40	136
23	42	133
24	42	128
25	44	125
26	45	122
27	46	119
28	47	116
29	48	113
30	50	111
31	51	108
32	52	106
33	74	145
34	76	141
35	84	150
36	86	146
37	88	143
38	89	140
39	90	136
40	93	134
41	94	130
42	95	126
43	96	123
44	99	121
45	104	122
46	105	119
47	107	116
48	108	112
49	119	119
50	120	115
51	121	112
52	123	109
53	124	105
54	129	106
55	131	103
56	132	99
57	133	96
58	134	93
59	138	92
60	149	95
61	152	93
62	154	90
63	155	87
64	168	90
65	169	87
66	175	86
67	176	83
68	177	79
69	181	77
70	183	74
71	197	76
72	199	73
73	201	70
74	202	67
75	212	67
76	214	63
77	215	60
78	216	57
79	217	54
80	218	51
81	224	49
82	225	46
83	226	43
84	227	40
85	229	37
86	232	34
87	243	33
88	244	30
89	245	27
90	247	24
91	259	22
92	260	19
93	262	16
94	263	13
95	265	11
96	267	8
97	268	5
98	269	2
99	272	0
